휴게소명,고속도로,위도,경도,휴게소종류,운영시간,방향,주요편의시설,전화번호,데이터기준일,프랜차이즈매장
서천(서울),서해안선,36.131929,126.627834,일반휴게소,00:00-23:59,서울방향,"식당, 편의점",문의 필요,2025-06-07,"할리스커피 , 드롭탑"
선산(양평),중부내륙선,36.277941,128.249296,일반휴게소,00:00-23:59,양평방향,"식당, 편의점",문의 필요,2025-06-07,"드롭탑 , 로띠번 , 나뚜르 , 농심가락"
선산(창원),중부내륙선,36.274223,128.250745,일반휴게소,00:00-23:59,창원방향,"식당, 편의점",문의 필요,2025-06-07,"드롭탑 , 로띠번 , 카페베네"
섬진강(부산),호남선,34.9847001,127.770697,일반휴게소,00:00-23:59,부산방향,"식당, 편의점",문의 필요,2025-06-07,
섬진강(순천),호남선,34.985669,127.769329,일반휴게소,00:00-23:59,순천방향,"식당, 편의점",문의 필요,2025-06-07,
성주(양평),중부내륙선,36.0082601,128.261541,화물차휴게소,00:00-23:59,양평방향,"식당, 편의점, 샤워실",문의 필요,2025-06-07,
옥천(부산),경부선,36.296863,127.595223,화물차휴게소,00:00-23:59,부산방향,"수유실, 수면실, 샤워실, 세탁실, 쉼터, 화물차라운지, CU편의점",043-731-8521,2025-06-07,"엔제리너스 , 던킨도너츠 , 할리스"
옥천(서울),경부선,36.297616,127.598777,일반휴게소,00:00-23:59,서울방향,"수면실, 샤워실, 세탁실, 쉼터, CU편의점, 세차장",043-732-0081,2025-06-07,"엔제리너스 , 던킨도너츠 , 할리스"
옥천만남,경부선,36.308718,127.572308,화물차휴게소,00:00-23:59,양방향,"식당, 편의점, 샤워실",문의 필요,2025-06-07,
와촌(포항),대구포항선,35.951819,128.775563,일반휴게소,00:00-23:59,포항방향,"식당, 편의점",문의 필요,2025-06-07,
외동(부산),울산포항선,35.672753,129.285277,일반휴게소,00:00-23:59,부산방향,"식당, 편의점",문의 필요,2025-06-07,
외동(포항),울산포항선,35.672847,129.288543,일반휴게소,00:00-23:59,포항방향,"식당, 편의점",문의 필요,2025-06-07,
용인(강릉),영동선,37.245583,127.2419801,일반휴게소,00:00-23:59,강릉방향,"수유실, 쉼터",031-339-3663,2025-06-07,
용인(인천),영동선,37.248318,127.238342,일반휴게소,00:00-23:59,인천방향,"수유실, 샤워실, 쉼터",031-339-3660,2025-06-07,
울주(울산),밀양울산선,35.510821,129.130435,일반휴게소,00:00-23:59,울산방향,"식당, 편의점",문의 필요,2025-06-07,
울주(함양),밀양울산선,35.5131601,129.128519,일반휴게소,00:00-23:59,함양방향,"식당, 편의점",문의 필요,2025-06-07,
청송(청주),상주영덕선,36.456721,129.012028,일반휴게소,00:00-23:59,청주방향,"식당, 편의점",문의 필요,2025-06-07,
청주(서울),경부선,36.716005,127.349315,화물차휴게소,00:00-23:59,서울방향,"식당, 편의점, 샤워실",문의 필요,2025-06-07,
청통(대구),대구포항선,35.993928,128.859145,일반휴게소,00:00-23:59,대구방향,"식당, 편의점",문의 필요,2025-06-07,
추풍령(부산),경부선,36.200356,128.000331,일반휴게소,00:00-23:59,부산방향,"식당, 편의점",문의 필요,2025-06-07,
